夜航星(00:02:34): And. 

邵冬(00:02:39): You. 凯总来了吗？

贺东群(00:02:43): 我催一下，催一下，等哈。

张凯(00:09:21): 结余都不多，那是便宜。

刘大印(00:09:30): 喂哼哼没对，

张凯(00:09:34): 美丫丫开会听得到，听得到刘工。

刘大印(00:09:39): 退出去也行，我直接退出，对退出去就行，直接我不能结束，不能结束，直接把软件关了就行。能听到，所以谢婷还在家里面，

夜航星(00:09:56): 我在，

刘大印(00:09:56): 累了。

夜航星(00:09:57): 我在！

刘大印(00:10:03): 开总，你不是说下个月发工资这个数据比较要紧吗？你你要把那些点都要说一下，我们全力以赴帮把这个部分。给完善掉。

张凯(00:10:27): 现在可以讲吗？

刘大印(00:10:44): 昨天标没问题。

张凯(00:10:47): 现在可以讲吗？

张凯(00:11:25): 那我现在开始哈，我昨天看了一下导出来的服务，业绩订单明细和服务明细，因为我们用用美丫丫的那些市场，我们就给他我发言上的权限给关闭了，因为防止他们两边都在录单嘛，要么有漏的，要么有重复的。所以就那边关闭了，就所有的数据都在美丫丫上录，然后那么下个月的时候算工资算报表都要从这里来提取数据嘛？我就把明细导出来看了一下，最大的一个感触，最大的感受就是昨天发给邵总的，他明细可以合并吗？

夜航星(00:12:20): 明明明细合并。展开讲一下咋合并。

张凯(00:12:29): 我把电脑投屏投一下哈。

夜航星(00:12:32): 好。

刘大印(00:12:32): 让张凯投吧！Ok 他发发给我了，我没有转出来，昨天都在忙。

张凯(00:12:43): T. 

张凯(00:12:57): 比如说我找一个。**。销售单。

刘大印(00:13:05): 要算出来，他们店长很凶的，算错了，店长很凶的，我已经见识过了，

张凯(00:13:16): 哪个店长很凶？

刘大印(00:13:17): 那天找李广做的嘛，算错了，他不找找你们麻烦。可以喝，你要不倒出来？

张凯(00:13:31): 我找个订单。订单编号完订单编号是我？我举个案例。比如说，比如说我可以，我们可以看到屏幕，比如说，比如说我们这里的销商品明细，他其实是他选的。他选的，他选择单次，然后选了20数量21嘛，这里是谢工给弄的合并的？

张凯(00:14:08): 实际上我们导出来的订单明细它是分了21行的，

夜航星(00:14:13): 对，是数据是那21行？

张凯(00:14:17): 分配的时候其实分配那个动作的时候其实也是合并的，然后但是这里看到了，

夜航星(00:14:23): 对。

张凯(00:14:25): 也是分了。

夜航星(00:14:27): 这里可能没有合并。

张凯(00:14:28): 12行。就是我导出来明细，会导致，比如说我半个月合并之后，本来是有1700行，然后没有合并，有11000万2还是13000行，这个数据量有点大。因为我们。我们基础的那些主管什么的，他可能这些表格他用的不太熟悉，我很担心他们弄错。

张凯(00:15:04): 还有一个就是我们上次讨论的讨论储值卡抵扣，现付实付的需要帮忙拆分一下。

夜航星(00:15:17): 可以。就按照实付金额去拆，去分摊。

张凯(00:15:26): 这是我们上次群里讨论的，就把储值卡也分分到每一行去，然后。然后现付的也分到每一行去，看能不能他同样的，怎么形容给它合并起来，能够实现吗？

夜航星(00:15:53): 合并起来。同合并一下。

张凯(00:16:00): 就比如刚刚，刚刚付了20，他同一张卡总共购买了21个数量，他21个数量。

夜航星(00:16:08): 就导出的时候也需要合并，是这个意思？

张凯(00:16:12): 对。

夜航星(00:16:14): 导出的时候也要合并那。他有个问题可能有个别行合并不了，它不能整除的情况下，它会有一个用剩下去减吗？

张凯(00:16:33): 不能整除的情况下。

夜航星(00:16:36): 多个明细商品，我们先用储值卡余额去按实付去分担嘛，然后 N 减一条都是分摊的，然后最后一条第 N 条得用减嘛。用储值卡的总额减去已经分摊的。这一条可能就不能合并了。

张凯(00:17:03): 比如说这里，这里21它可能会存在20行加1行的情况？

夜航星(00:17:10): 对。

张凯(00:17:14): 也可以！

夜航星(00:17:17): 行，我就按数据库里面存的，就每列都值都一样的话，我给你合并。

张凯(00:17:27): 他是。他不，不是单纯的，每每一列都一样，他我，我理解和这里一样，他选了他同一张卡，选的只是选择数量的话，就给他合并。

夜航星(00:17:44): 我们要选择数量，已经开始用它，导致它状态数量就已用已付，不一样的话，它会拆开的。

张凯(00:17:58): 已用已付不一样。

夜航星(00:18:02): 对。

张凯(00:18:05): 它会拆开，因为我们的订单我们导入的订单里面会显示它已用已付吗？

夜航星(00:18:11): 牡丹。会的。

张凯(00:18:16): 我会，你你的，这里面它是2021行一共一次一负一次是这个意思吗？

夜航星(00:18:27): 对，合并。合并的逻辑，列都一样，可以，有 N 行，除了编号，所有列都一样，就可以给这些行，合并起来，然后只改个数量。

张凯(00:19:02): 对，是改个数量。

夜航星(00:19:05): 然后已用已付这里合并是因为这显示，

张凯(00:19:06): You. 比如说。

夜航星(00:19:14): 我觉得把它加起来可能更直观一点。所以就给它加起来，如果你这边需要保持，

张凯(00:19:20): 对，加起来更直观一点。对，更直观一点，我打比方说订单里面，

